pm_hub_client,pm_hub_client_id,psa_status,current_client_codes,candidate_customer_id,candidate_customer_name,candidate_score,candidate_ticket_count,candidate_statuses,evidence_source,example_tickets,candidate_urls,recommended_decision,review_decision,review_notes
Xclutel,322a59b7-e7b2-8107-b478-f9456f16c92b,NKO,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Fountaine Information Systems,381a59b7-e7b2-8139-9d43-d14c6490f079,NKO,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Logic People,37aa59b7-e7b2-81dc-8d4e-f07b86acdef2,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
MR Solutions,375a59b7-e7b2-8119-8f01-ddb99ac01d02,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Pilothouse Communications,373a59b7-e7b2-80ad-a237-c35bd18d572b,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Arcomm Communications,36fa59b7-e7b2-819e-aba8-edb2e553fda0,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Weaver Systems,36fa59b7-e7b2-81f2-8293-d6f26b11e72e,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Computer Brilliance,36fa59b7-e7b2-81f5-8182-c613b917518a,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
All Secure,36da59b7-e7b2-815d-8350-e1bfaf4f8c26,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Trails Country Security,36ca59b7-e7b2-8154-b343-cccf3ea9e431,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
UT Networks,367a59b7-e7b2-815a-a308-c69820ca64ce,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Sunrise Solutions Inc,366a59b7-e7b2-8172-bea3-c85da23a7649,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Alarmco Integrated Systems,365a59b7-e7b2-8125-8cd7-df1a06ede947,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
Electronic Systems Installers,360a59b7-e7b2-8103-9e94-dc6dd8cf6cc7,In Progress,,,,,,,captured_psainternal_ticket_customers_no_candidate,,,needs_live_psa_customer_search,,No matching open-ticket customer found in current psainternal snapshot; search internal.psarev.io Customers for this exact client name.
