pm_hub_client,pm_hub_client_id,psa_status,current_client_codes,revio_customer_id,revio_customer_name,revio_status,match_score,alternate_candidates,recommended_decision,review_decision,review_notes
Xclutel,322a59b7-e7b2-8107-b478-f9456f16c92b,NKO,,22279,Xclutel,CLOSED,1.000,"22962 Xclutel LLC (OPEN, 0.92)",review_closed_customer_before_adding,,Rev.io match is CLOSED; verify whether PSA client should use this historical customer_id or a newer customer record.
Fountaine Information Systems,381a59b7-e7b2-8139-9d43-d14c6490f079,NKO,,23074,Fountaine Information Systems,PROSPECT,1.000,,review_prospect_customer_before_adding,,Rev.io match is PROSPECT; verify whether PSA client code should still use this customer_id.
Logic People,37aa59b7-e7b2-81dc-8d4e-f07b86acdef2,In Progress,,23069,Logic People,OPEN,1.000,"1481 SIP Logic  (CLOSED, 0.50)",confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
MR Solutions,375a59b7-e7b2-8119-8f01-ddb99ac01d02,In Progress,,23068,MR Solutions,OPEN,1.000,"22894 MR PC Office (CLOSED, 0.50)",confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Pilothouse Communications,373a59b7-e7b2-80ad-a237-c35bd18d572b,In Progress,,22131,"Pilothouse Communications, LLC",OPEN,0.920,,review_near_exact_name_before_adding,,"Name is a near-exact match, not exact; verify alias/legal suffix before adding."
Arcomm Communications,36fa59b7-e7b2-819e-aba8-edb2e553fda0,In Progress,,22232,Arcomm Communications,OPEN,1.000,,confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Weaver Systems,36fa59b7-e7b2-81f2-8293-d6f26b11e72e,In Progress,,23064,Weaver Systems,OPEN,1.000,,confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Computer Brilliance,36fa59b7-e7b2-81f5-8182-c613b917518a,In Progress,,23066,Computer Brilliance,OPEN,1.000,"22209 Amtek Computer Services (OPEN, 0.50) | 22111 Computer World Inc (OPEN, 0.50) | 22120 Harris Computer (OPEN, 0.50)",confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
All Secure,36da59b7-e7b2-815d-8350-e1bfaf4f8c26,In Progress,,22480,All Secure Lock Service,OPEN,0.920,"22949 All Secured Security Services (OPEN, 0.92) | 22225 Secure Technologies, Inc (OPEN, 0.67) | 1412 All Access Telecom  (CLOSED, 0.50)",review_near_exact_name_before_adding,,"Name is a near-exact match, not exact; verify alias/legal suffix before adding."
Trails Country Security,36ca59b7-e7b2-8154-b343-cccf3ea9e431,In Progress,,22864,"R-Squared Security Services, LLC dba Trails Country Security",CLOSED,0.920,,review_closed_customer_before_adding,,Rev.io match is CLOSED; verify whether PSA client should use this historical customer_id or a newer customer record.
UT Networks,367a59b7-e7b2-815a-a308-c69820ca64ce,In Progress,,22814,UT Networks,OPEN,1.000,,confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Sunrise Solutions Inc,366a59b7-e7b2-8172-bea3-c85da23a7649,In Progress,,22238,Sunrise Solutions Inc,OPEN,1.000,,confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Alarmco Integrated Systems,365a59b7-e7b2-8125-8cd7-df1a06ede947,In Progress,,23062,Alarmco Integrated Systems,OPEN,1.000,"22727 Integrated Systems (OPEN, 0.92)",confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
Electronic Systems Installers,360a59b7-e7b2-8103-9e94-dc6dd8cf6cc7,In Progress,,23060,Electronic Systems Installers,OPEN,1.000,"22432 Electronic Innovations Inc. (OPEN, 0.50) | 22759 Electronic Specialties Inc. (OPEN, 0.50) | 22023 Electronic Specialty Company (OPEN, 0.50)",confirm_and_add_as_psa_client_code,,Use Rev.io customer_id as candidate PSA client code if Alex confirms this is the correct customer.
